,5,6,7
2021-04-12,205884,146328,89054
2021-04-13,204715,145600,88655
2021-04-14,203532,144837,88319
2021-04-15,202244,144081,87920
2021-04-16,201019,143381,87584
2021-04-17,199829,142716,87255
2021-04-18,199227,142401,87136
2021-04-19,198541,141883,86835
2021-04-20,197841,141477,86548
2021-04-21,196917,140889,86198
2021-04-22,195951,140329,85911
2021-04-23,194915,139804,85596
2021-04-24,193970,139258,85358
2021-04-25,193501,138992,85218
2021-04-26,192745,138432,85008
2021-04-27,192017,137816,84700
2021-04-28,191303,137347,84476
2021-04-29,190603,136899,84245
2021-04-30,189798,136409,84042
2021-05-01,189231,136094,83909
2021-05-02,188909,135891,83832
2021-05-03,188692,135758,83783
2021-05-04,188237,135506,83650
2021-05-05,187586,135086,83426
2021-05-06,186928,134659,83174
2021-05-07,186200,134239,82950
2021-05-08,185528,133854,82747
2021-05-09,185157,133658,82656
2021-05-10,184639,133350,82502
2021-05-11,183946,132902,82264
2021-05-12,183085,132342,81963
2021-05-13,182028,131593,81585
2021-05-14,181174,131082,81291
2021-05-15,180327,130585,81032
2021-05-16,179837,130326,80892
2021-05-17,179347,129990,80696
2021-05-18,178675,129528,80423
2021-05-19,177800,128947,80108
2021-05-20,176953,128394,79807
2021-05-21,176288,127988,79562
2021-05-22,175539,127540,79310
2021-05-23,175161,127323,79184
2021-05-24,174608,127001,78988
2021-05-25,174048,126581,78813
2021-05-26,173369,126112,78582
total,1297807,1178968,914893
