,5,6,7
2021-05-05,303079,219562,132916
2021-05-06,302162,218939,132608
2021-05-07,301203,218393,132300
2021-05-08,300167,217791,131971
2021-05-09,299684,217483,131845
2021-05-10,298858,216972,131530
2021-05-11,297626,216160,131054
2021-05-12,296450,215341,130683
2021-05-13,295162,214522,130228
2021-05-14,293797,213703,129808
2021-05-15,292432,212842,129381
2021-05-16,291809,212499,129185
2021-05-17,290892,211778,128793
2021-05-18,289709,211022,128373
2021-05-19,288176,210210,127883
2021-05-20,286804,209412,127316
2021-05-21,285565,208565,126882
2021-05-22,284459,207935,126539
2021-05-23,284445,207921,126539
2021-05-24,284438,207914,126532
total,1816822,1625365,1237145
